                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1050                                     1032                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.0595735512753241E+007                  7.0111217270340465E+004                  2.4416412998379572E+004                  3.9604345861338741E+004                  1.1136956774190699E+001                 -6.0750963355125114E+000                  1.6757457748308571E-002                  1.9197815082562454E-012                  9.6382322481511773E-001                  2.0784194522265972E-004                  1.2618220451977564E-002                  4.0347016346571358E-004                  2.0994604783340890E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  7.6226514924625510E+000                  2.2545434915009839E-004                  7.0784736623717368E+000                  2.3854518864846460E-002                  8.9372353440724334E-002                  9.2575745401186543E-002                  3.1491907175011345E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4999999981875680E+001                  1.1078711940700558E+001                  1.4999999799582033E+001                  1.0954446357503382E+001                  9.6081050558700299E+004                  1.1974370141125655E+004                  3.7874631366258240E+006                  3.9507615207757146E+004                  3.9507615207757146E+004                  2.3863406539482963E-022                  2.6880178567535982E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3438181050226194E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.5000000000000000E+001                  1.0467665340393166E+000                  4.3878843212881504E+000                 -9.3762101804994149E+000                  3.3440346550770208E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.4999999999985000E+001                  1.0467612681423790E+000                  4.3884180757679188E+000                 -9.3725012284158016E+000                  3.3474216013461588E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       3                  1.4999999999960412E+001                  1.0467527089919535E+000                  4.3895062714124551E+000                 -9.3650552260192370E+000                  3.3542655183312902E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       4                  1.4999999999904063E+001                  1.0467334258469190E+000                  4.3918151165349721E+000                 -9.3497398351503200E+000                  3.3685286692803240E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  1.4999999999787606E+001                  1.0466949472211384E+000                  4.3941398904635021E+000                 -9.3348889545200731E+000                  3.3825848394698239E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       6                  1.4999999999728184E+001                  1.0466759692523582E+000                  4.3964228792649953E+000                 -9.3208775378182231E+000                  3.3960724640999094E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       7                  1.4999999999613436E+001                  1.0466404789220023E+000                  4.3991115799588743E+000                 -9.3049695807459170E+000                  3.4116279477689546E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       8                  1.4999999999520544E+001                  1.0466127759411477E+000                  4.4014899194144155E+000                 -9.2914208251023442E+000                  3.4250923027873581E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                       9                  1.4999999999427654E+001                  1.0465859188120685E+000                  4.4038414067624743E+000                 -9.2784626056259789E+000                  3.4381549294428897E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      10                  1.4999999999334765E+001                  1.0465598464270260E+000                  4.4061658909914510E+000                 -9.2660497135972850E+000                  3.4508391076877643E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      11                  1.4999999999241872E+001                  1.0465345041875100E+000                  4.4093384095338770E+000                 -9.2497280765391352E+000                  3.4677884847968197E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      12                  1.4999999999077948E+001                  1.0464914219428043E+000                  4.4123193040600341E+000                 -9.2348871906474628E+000                  3.4834254213310087E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      13                  1.4999999998995985E+001                  1.0464705999017097E+000                  4.4142834153666346E+000                 -9.2254108901766081E+000                  3.4935476869629305E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      14                  1.4999999998914021E+001                  1.0464502243772953E+000                  4.4171949753167405E+000                 -9.2117737027157940E+000                  3.5083047443710873E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                      15                  1.4999999998750097E+001                  1.0464107248939654E+000                  4.4209986861839408E+000                 -9.1945286816163403E+000                  3.5272385352862492E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      16                  1.4999999998586171E+001                  1.0463727529701361E+000                  4.4240619754861115E+000                 -9.1810844358896624E+000                  3.5422159191024747E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      17                  1.4999999998480531E+001                  1.0463490230436427E+000                  4.4264280309335700E+000                 -9.1709878923848027E+000                  3.5536066649359102E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      18                  1.4999999998374891E+001                  1.0463258346733515E+000                  4.4287614416879659E+000                 -9.1612432920599698E+000                  3.5647086129949273E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      19                  1.4999999998269249E+001                  1.0463031572125296E+000                  4.4322087489779349E+000                 -9.1472627558681729E+000                  3.5808501995945270E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      20                  1.4999999998057968E+001                  1.0462592289736736E+000                  4.4355715545007710E+000                 -9.1339099292071548E+000                  3.5964194694547773E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      21                  1.4999999997952328E+001                  1.0462379250881721E+000                  4.4388806860112453E+000                 -9.1212229768863029E+000                  3.6114527499321345E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      22                  1.4999999997741046E+001                  1.0461965350428037E+000                  4.4431823741267538E+000                 -9.1051519759188650E+000                  3.6307275575477798E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      23                  1.4999999997529766E+001                  1.0461566374371878E+000                  4.4463301272197411E+000                 -9.0936809701060319E+000                  3.6446472837504809E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      24                  1.4999999997424126E+001                  1.0461372046619239E+000                  4.4483997995660269E+000                 -9.0863139971595679E+000                  3.6536868639329567E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      25                  1.4999999997318485E+001                  1.0461180962028229E+000                  4.4514623630677743E+000                 -9.0756580767691055E+000                  3.6669052384768057E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      26                  1.4999999997107203E+001                  1.0460807983053320E+000                  4.4554527840548337E+000                 -9.0620808764697411E+000                  3.6839320119052474E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      27                  1.4999999996895925E+001                  1.0460446392283167E+000                  4.4592505122448260E+000                 -9.0495200651182852E+000                  3.6999055321090975E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      28                  1.4999999996695569E+001                  1.0460113199613279E+000                  4.4628681868807449E+000                 -9.0378776032019879E+000                  3.7149148039788482E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      29                  1.4999999996495216E+001                  1.0459788746740766E+000                  4.4664107140531337E+000                 -9.0267660982957931E+000                  3.7294268995466222E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      30                  1.4999999996294862E+001                  1.0459472419760412E+000                  4.4698813738118552E+000                 -9.0161464684168049E+000                  3.7434737341923991E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      31                  1.4999999996094511E+001                  1.0459163667342255E+000                  4.4732831186028239E+000                 -9.0059835271274196E+000                  3.7570842459644602E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      32                  1.4999999995894157E+001                  1.0458861992572106E+000                  4.4766186147745533E+000                 -8.9962455282634526E+000                  3.7702847547264526E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      33                  1.4999999995693805E+001                  1.0458566946049879E+000                  4.4798902980239763E+000                 -8.9869038066086784E+000                  3.7830992687376699E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      34                  1.4999999995493452E+001                  1.0458278120001019E+000                  4.4831004379013626E+000                 -8.9779326073029555E+000                  3.7955497476384124E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      35                  1.4999999995293098E+001                  1.0457995143136400E+000                  4.4878178410908953E+000                 -8.9651636803102335E+000                  3.8135853694798301E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      36                  1.4999999994892393E+001                  1.0457445429005929E+000                  4.4923824226325211E+000                 -8.9530240920987492E+000                  3.8309103641234867E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      37                  1.4999999994692040E+001                  1.0457178073040196E+000                  4.4953665277126813E+000                 -8.9453258933232522E+000                  3.8420906512212536E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      38                  1.4999999994491684E+001                  1.0456915366315440E+000                  4.4997570853653226E+000                 -8.9343264938686318E+000                  3.8583431284443099E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      39                  1.4999999994090979E+001                  1.0456402955778090E+000                  4.5054218624568589E+000                 -8.9204836303187989E+000                  3.8791177748623054E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      40                  1.4999999993690274E+001                  1.0455906447462491E+000                  4.5108496129577906E+000                 -8.9076616802114579E+000                  3.8987764269480301E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      41                  1.4999999993296852E+001                  1.0455432989808484E+000                  4.5160559760604961E+000                 -8.8957531893520372E+000                  3.9174226829962606E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      42                  1.4999999992903431E+001                  1.0454972189469618E+000                  4.5210994384146472E+000                 -8.8845597937801681E+000                  3.9353086536956736E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      43                  1.4999999992510007E+001                  1.0454522972765790E+000                  4.5247709402683673E+000                 -8.8765629699369111E+000                  3.9482610133799607E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      44                  1.4999999992313297E+001                  1.0454302411347689E+000                  4.5271777114477096E+000                 -8.8714421248368112E+000                  3.9566878686767430E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      45                  1.4999999992116585E+001                  1.0454084402316051E+000                  4.5307278593551787E+000                 -8.8640564126105801E+000                  3.9690317244274222E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      46                  1.4999999991723165E+001                  1.0453655640813977E+000                  4.5353256964740991E+000                 -8.8546289238028777E+000                  3.9849688804317354E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      47                  1.4999999991329743E+001                  1.0453235963435159E+000                  4.5397881025962414E+000                 -8.8456867969750448E+000                  4.0003476785430969E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      48                  1.4999999990936319E+001                  1.0452824720858076E+000                  4.5441212423826656E+000                 -8.8371876990968339E+000                  4.0152060031244412E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      49                  1.4999999990542898E+001                  1.0452421334535680E+000                  4.5483310326236381E+000                 -8.8290894046037867E+000                  4.0295780092610922E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      50                  1.4999999990149476E+001                  1.0452025291128089E+000                  4.5524231257237995E+000                 -8.8213533501699608E+000                  4.0434945966314100E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      51                  1.4999999989756056E+001                  1.0451636134426110E+000                  4.5583783509376605E+000                 -8.8104520944936553E+000                  4.0635744867403218E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      52                  1.4999999988969211E+001                  1.0450876813231755E+000                  4.5659127678708300E+000                 -8.7967428086871031E+000                  4.0889976135347608E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      53                  1.4999999988182369E+001                  1.0450140706904427E+000                  4.5712823143414356E+000                 -8.7869750508901276E+000                  4.1071456440593606E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      54                  1.4999999987788948E+001                  1.0449780702994615E+000                  4.5747622263625685E+000                 -8.7807654036076883E+000                  4.1188400855233009E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      55                  1.4999999987395526E+001                  1.0449425722232140E+000                  4.5798370104048161E+000                 -8.7718396166696628E+000                  4.1358171443797476E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
