                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1450                                     1759                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.1022714044989670E+007                  1.8170874123327180E+003                  3.8838665982383131E+003                  2.9698464243839975E+004                  3.8115114028733495E+002                 -3.3462328838811946E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8819922235291717E-001                  1.8153910469168946E-001                  2.7752914153996952E-006                  6.1861513280707311E-003                  1.9982434477407583E-002                  1.4816152709384925E+001                 -4.3973518378826007E-007                  7.3690226374989134E+000                  2.1814474004933960E-004                  6.8514537997448084E+000                  3.0703103956655015E-001                  6.8537202067787711E-002                  1.0024497731994415E-001                  5.9042064593694342E-002                  3.4928832085945620E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4813832939748069E+001                  3.7920249969364437E+002                  1.4813420592506596E+001                  3.7890371919335291E+002                  1.9355824860256191E+007                  4.5521777844453550E+002                  4.9888615747051891E+006                  2.9512156084336428E+004                  1.5039659562789771E+004                  1.3754280511964909E+004                  1.0262229161182154E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.4785646306252731E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.4816152709384925E+001                  2.5810972233839111E+000                  3.5892643049731343E+000                 -8.6601646361994735E+000                  2.7185906600279774E+000                  6.6100380128123071E-001                  3.1892556933986554E-001                  2.0070629378903693E-002 
                                       2                  1.4816152709370108E+001                  2.5810972233589604E+000                  3.5892643067617547E+000                 -8.6601646236818315E+000                  2.7185906743290920E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       3                  1.4816152709330135E+001                  2.5810972232916458E+000                  3.5892643120007888E+000                 -8.6601645870165083E+000                  2.7185907162183711E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       4                  1.4816152709209625E+001                  2.5810972230887126E+000                  3.5892643291577317E+000                 -8.6601644669438755E+000                  2.7185908533985699E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       5                  1.4816152708804584E+001                  2.5810972224066293E+000                  3.5892643743453378E+000                 -8.6601641506993676E+000                  2.7185912147006364E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       6                  1.4816152707825434E+001                  2.5810972207577696E+000                  3.5892644789473342E+000                 -8.6601634186464604E+000                  2.7185920510545021E+000                  6.6100380128123082E-001                  3.1892556933986549E-001                  2.0070629378903693E-002 
                                       7                  1.4816152705600405E+001                  2.5810972170108881E+000                  3.5892646496399623E+000                 -8.6601622240674025E+000                  2.7185934158349547E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       8                  1.4816152702596776E+001                  2.5810972119528812E+000                  3.5892649198442026E+000                 -8.6601603330791708E+000                  2.7185955762498311E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
                                       9                  1.4816152697323533E+001                  2.5810972030729573E+000                  3.5892653393738772E+000                 -8.6601573970957091E+000                  2.7185989305556966E+000                  6.6100380128123071E-001                  3.1892556933986549E-001                  2.0070629378903804E-002 
