                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1400                                      795                  2.1000000000000001E+000                  2.0000000000000000E-002                  1.0498532101615485E+009                  1.6060798676565868E+004                  4.0062793577592274E+003                  1.8471182354319618E+002                  2.8250343033341903E+001                  5.5632392802907606E+000                  8.4814015808855944E-025                  9.7020520696053015E-049                  9.8046007630348431E-001                  1.6057153918034483E-004                  1.2070370639377281E-002                  1.0872168814149586E-003                  1.6630117127649543E-003                  2.0983618125796424E+000                 -9.9505022635678229E-011                  1.2179774255681350E+000                  5.3744271860663878E-004                  8.3773831801125431E-001                  3.9873874506971552E-003                  8.3642126762764890E-003                  1.6452521339074846E-002                  3.5032626019284867E-003                  3.0691694889717669E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0983587462225648E+000                  2.8171386247584330E+001                  2.0983577202898260E+000                  2.8149638988379838E+001                  1.0378365776590272E+006                  1.9807144303255624E+004                  1.1360192175726779E+008                  1.8215331650247418E+002                  1.8214521448870249E+002                  1.2037087191425410E-003                  1.2424383639942887E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3131425067462020E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                                    zone                                     logT                                   logRho                                     logP                                     logR                                  entropy                              mixing_type                                   csound                                      eta                                       mu                                   logtau                                  logPgas              log_thermal_time_to_surface                                     abar                                       ye                                  eps_nuc                              non_nuc_neu                        mlt_mixing_length                          mlt_mixing_type                                 brunt_N2                    pressure_scale_height                                log_D_mix                            log_mlt_D_mix                               log_D_conv                               log_D_soft                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                               log_D_anon                                    j_rot                                    gradT                                    gradr                                     mass                                     neut                                       h1                                       h2                                      he3                                      he4                                      li7                                      be7                                      be9                                     be10                                       b8                                      c12                                      c13                                      n13                                      n14                                      n15                                      o14                                      o15                                      o16                                      o17                                      o18                                      f17                                      f18                                      f19                                     ne18                                     ne19                                     ne20                                     ne21                                     ne22                                     na21                                     na22                                     na23                                     na24                                     mg23                                     mg24                                     mg25                                     mg26                                     al25                                     al26                                     al27                                     si27                                     si28                                     si29                                     si30                                      p30                                      p31                                      s31                                      s32                                      s33                                      s34 
                                       1                  3.6027412575953042E+000                 -7.8761697103341994E+000                  3.5248188103893967E+000                  1.4510237256628202E+000                  1.9994914986377641E+001                                        6                  6.3731922610830190E+005                 -1.7732241160795656E+001                  1.3170751233988711E+000                 -1.7609125905568127E-001                  3.5247345342955247E+000                 -2.6479516964005549E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438581938555E-018                  0.0000000000000000E+000                  5.2403163276354055E+009                                        0                  5.2500355206608016E-009                  5.0196043254455640E-002                  2.9175331176935475E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653536675637091E+014                  1.2501216081550162E-001                  1.2501216081550162E-001                  2.0983618125796424E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149461E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792659E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746646629E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888393E-099                  3.5989972150928575E-005                  1.6654823705940428E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       2                  3.6027413421145327E+000                 -7.8761691192018199E+000                  3.5248194864766424E+000                  1.4510237248600986E+000                  1.9994914192124089E+001                                        6                  6.3731930305718607E+005                 -1.7732240091581982E+001                  1.3170751218777506E+000                 -1.7609080724090453E-001                  3.5247352104483687E+000                 -2.1718368929499658E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438582226651E-018                  0.0000000000000000E+000                  5.2403166507560158E+009                                        0                  5.2500328674850195E-009                  5.0196052888066257E-002                  2.9175331176935475E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653536588197775E+014                  1.2501228272023737E-001                  1.2501228272023737E-001                  2.0983618125784624E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149461E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792659E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746650324E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888393E-099                  3.5989972150928575E-005                  1.6654823705940428E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       3                  3.6027415288023481E+000                 -7.8761678135027973E+000                  3.5248209798257273E+000                  1.4510237232602377E+000                  1.9994912437771632E+001                                        6                  6.3731947302360833E+005                 -1.7732237729895438E+001                  1.3170751185178577E+000                 -1.7608990674842342E-001                  3.5247367039423474E+000                 -1.7665035501433202E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438582862994E-018                  0.0000000000000000E+000                  5.2403179773552027E+009                                        0                  5.2500222142809957E-009                  5.0196074207023447E-002                  2.9175332636062414E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653536413927438E+014                  1.2501276864630684E-001                  1.2501276864630684E-001                  2.0983618125761101E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149461E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792676E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746658478E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888393E-099                  3.5989972150928575E-005                  1.6654823705940428E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       4                  3.6027419170832498E+000                 -7.8761650978862665E+000                  3.5248240857245072E+000                  1.4510237195532472E+000                  1.9994908789049887E+001                                        6                  6.3731982652735582E+005                 -1.7732232818031363E+001                  1.3170751115297614E+000                 -1.7608782023874045E-001                  3.5247398101424756E+000                 -1.4241167776034387E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438584186485E-018                  0.0000000000000000E+000                  5.2403210511962233E+009                                        0                  5.2499975300007356E-009                  5.0196118459368111E-002                  2.9175336017152445E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653536010131606E+014                  1.2501389457515918E-001                  1.2501389457515918E-001                  2.0983618125706589E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149461E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792694E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746675452E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888391E-099                  3.5989972150928575E-005                  1.6654823705940430E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       5                  3.6027424112631676E+000                 -7.8761616416832041E+000                  3.5248280386547366E+000                  1.4510237122229313E+000                  1.9994904145297884E+001                                        6                  6.3732027644657169E+005                 -1.7732226566665855E+001                  1.3170751026356142E+000                 -1.7608369427233903E-001                  3.5247437634562284E+000                 -1.2480854595969160E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438585870888E-018                  0.0000000000000000E+000                  5.2403271295851946E+009                                        0                  5.2499487181206983E-009                  5.0196174177309066E-002                  2.9175342703940559E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653535211656756E+014                  1.2501612104618276E-001                  1.2501612104618276E-001                  2.0983618125598804E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149464E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792764E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746697047E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888389E-099                  3.5989972150928575E-005                  1.6654823705940450E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       6                  3.6027430740967143E+000                 -7.8761570060434689E+000                  3.5248333405446717E+000                  1.4510237055058504E+000                  1.9994897916895184E+001                                        6                  6.3732087991633359E+005                 -1.7732218182055764E+001                  1.3170750907059046E+000                 -1.7607991343079205E-001                  3.5247490658605538E+000                 -1.0435601240924868E+000                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438588130066E-018                  0.0000000000000000E+000                  5.2403326995728226E+009                                        0                  5.2499039892355983E-009                  5.0196249630708012E-002                  2.9175348832022530E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653534479984128E+014                  1.2501816128464721E-001                  1.2501816128464721E-001                  2.0983618125500030E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149464E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869792904E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746726008E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077423E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311791E-099                  1.0002309504021781E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067579E-099                  1.3970741029740592E-098                  3.2775298416958646E-007                  1.0003179486505195E-099                  1.0008064704833537E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888383E-099                  3.5989972150928575E-005                  1.6654823705940527E-099                  1.0008977355769777E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068599E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797069E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216342E-099                  6.8357902670777765E-006                  1.0005199432429285E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       7                  3.6027439541284649E+000                 -7.8761508515892231E+000                  3.5248403795670651E+000                  1.4510236933817870E+000                  1.9994889647909584E+001                                        6                  6.3732168113643862E+005                 -1.7732207050421675E+001                  1.3170750748666622E+000                 -1.7607308905872196E-001                  3.5247561055658516E+000                 -8.9764084803579858E-001                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438591129424E-018                  0.0000000000000000E+000                  5.2403427534200668E+009                                        0                  5.2498232542168855E-009                  5.0196349067998379E-002                  2.9175359895980488E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653533159353634E+014                  1.2502184390210552E-001                  1.2502184390210552E-001                  2.0983618125321755E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149464E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869793202E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746764471E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888375E-099                  3.5989972150928575E-005                  1.6654823705940438E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       8                  3.6027452122977723E+000                 -7.8761420529922370E+000                  3.5248504428192660E+000                  1.4510236804914414E+000                  1.9994877826454555E+001                                        6                  6.3732282663768134E+005                 -1.7732191136464152E+001                  1.3170750522209020E+000                 -1.7606583321634167E-001                  3.5247661697943147E+000                 -7.1971751878107071E-001                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438595417368E-018                  0.0000000000000000E+000                  5.2403534430546818E+009                                        0                  5.2497374148208694E-009                  5.0196492259464619E-002                  2.9175371664202889E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653531755268094E+014                  1.2502575937041943E-001                  1.2502575937041943E-001                  2.0983618125132204E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149461E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869793780E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746819453E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077432E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311807E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067583E-099                  1.3970741029740595E-098                  3.2775298416958646E-007                  1.0003179486505197E-099                  1.0008064704833539E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368272E-099                  1.1050972782888356E-099                  3.5989972150928575E-005                  1.6654823705940430E-099                  1.0008977355769779E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068601E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797071E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216344E-099                  6.8357902670777765E-006                  1.0005199432429287E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
                                       9                  3.6027476879454845E+000                 -7.8761247415402202E+000                  3.5248702426820193E+000                  1.4510236576202475E+000                  1.9994854567945346E+001                                        6                  6.3732508062033553E+005                 -1.7732159825952923E+001                  1.3170750076596376E+000                 -1.7605295888586389E-001                  3.5247859715777565E+000                 -4.8977723019103708E-001                  1.3190215952769320E+000                  8.4132956071436305E-001                  6.2596438603853827E-018                  0.0000000000000000E+000                  5.2403724105349922E+009                                        0                  5.2495851067460888E-009                  5.0196774588810757E-002                  2.9175392545782310E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.3653529264048938E+014                  1.2503270678982661E-001                  1.2503270678982661E-001                  2.0983618124795886E+000                  0.0000000000000000E+000                  6.8259473939931559E-001                  1.9083327559149458E-017                  3.0204187636901795E-004                  2.9693718367274347E-001                  1.0716121317499815E-006                  8.5414010869795532E-031                  1.9804787285165526E-060                  3.0592065542578022E-087                  3.9277494746927630E-099                  2.2198615517224161E-003                  1.0061755460853512E-004                  4.5474233364077423E-099                  2.5278528702191243E-003                  2.3527998849125473E-006                  5.8762152879311791E-099                  1.0002309504021783E-099                  9.0600099113124551E-003                  4.7058904689469879E-005                  1.7084203131256639E-005                  1.3960982249067579E-099                  1.3970741029740592E-098                  3.2775298416958646E-007                  1.0003179486505193E-099                  1.0008064704833537E-099                  1.6706117339457484E-003                  3.5476674102197662E-006                  1.0149665599361741E-004                  1.0014004425368268E-099                  1.1050972782888302E-099                  3.5989972150928575E-005                  1.6654823705940556E-099                  1.0008977355769777E-099                  3.2549626999478576E-003                  5.6657152659436819E-005                  6.5112170640408429E-005                  1.0008510848068599E-099                  1.3736024666428233E-021                  4.8661394339269836E-005                  1.0005690932797069E-099                  5.4736779860332311E-004                  2.8714994673790673E-005                  1.9718350147919451E-005                  1.0023613362216342E-099                  6.8357902670777765E-006                  1.0005199432429285E-099                  3.3177692272642271E-004                  2.7008373278003276E-006                  1.5643750053923016E-005 
